# Спосабы словаўтварэння:
# 
# _START_DICTIONARY
# 0. утваральнае слова
# 1. суфіксальны ад
# 1n. суфіксальны ад
# 2. прыставачны ад
# 3. прыставачна-суфіксальны ад
# 4. постфіксальны ад
# 5. прыставачна-постфіксальны ад
# 6. прыставачна-нульсуфіксальны ад
# 7. нульсуфіксальны ад
# 8. складанне асноў са злучальнай марфемай ад
# 9. складанне асноў + суфіксальны ад
# 10. складанне асноў + нульсуфікс у канцы другой часткі ад
# 11. словаскладанне ад
# 12. складанаскарочанае ад
# 13. марфолага-сінтаксічны ад
# 14. лексіка-семантычны ад
# 15. суфіксальна-поствіксальны ад
# 16. прыставачна-суфіксальна-постфіксальны ад
# 17. асноваскладанне ад
# 18. форма слова
# _END_DICTIONARY

1.  абавязак	абавязаць -->1	//абавяз(=<обо>-//вяз//)//-ак-/0/
3445.  ранейшы	ранні -->18	//ран(=рано)//-е%йш-/ы/
3446.  раніца	ранні -->1	//ра%н(=рано)//-іц-/а/
3447.  ранішні	раніца -->1	//ра%н(=рано)//-іш-н-/і/
3448.  ранкам	ранак -->1	//ра%н(=рано)//-к-ам
3449.  ранні	0 -->	//ра%н(=рано)//-н-/і/
3450.  раптам	0 -->	//ра%пт(=рапт)//-ам
3451.  раптоўна	раптоўны -->1	//рапт(=рапт)//-о%ўн-а
3452.  раптоўны	0 -->	//рапт(=рапт)//-о%ўн-/ы/
3453.  раса	0 -->	//ра%с(=раса)//-/а/
3454.  раса	0 -->	//рас(=рос)//-/а%/
3455.  расказаць	сказаць -->2	<рас(=раз)>-//каз(=каз)//-а%-ць
3456.  расказваць	расказаць -->1	<рас(=раз)>-//ка%з(=каз)//-ва-ць
3457.  раскласці	класці -->2	<рас(=раз)>-//кла%с(=клад)//-ці
3458.  раскоша	0 -->	//раско%ш(=каха1)//-/а/
3459.  раскрыць	крыць -->2	<рас(=раз)>-//кры%(=кры)//-ць
3460.  расліна	0 -->	//раслі%н(=рост)//-/а/
3461.  распачаць	пачаць -->2	<рас(=раз)>-<па(=по)>-//ча%(=кон1)//-ць
3462.  расплюшчыць	плюшчыць -->2	<рас(=раз)>-//плю%шч(=плюшч)//-ы-ць
3463.  расправа	расправіцца -->7	<рас(=раз)>-//пра%в(=прав)//-:@:-/а/
3464.  расправіцца	0 -->	<рас(=раз)>-//пра%в(=прав)//-і-ц-{ца}
3465.  распрануцца	распрануць -->4	<рас(=раз)>-//пра(=прат)//-ну%-ц-{ца}
3466.  распытваць	распытаць -->1	<рас(=раз)>-//пы%т(=пыт)//-ва-ць
3467.  расстраляны	расстраляць -->18	<рас(=раз)>-//страл(=стрэл)//-я%-н-/ы/
3468.  расстраляць	страляць -->2	<рас(=раз)>-//страл(=стрэл)//-я%-ць
3469.  рассыпацца	рассыпаць -->4	<рас(=раз)>-//сы%п(=сыпл)//-а-ц-{ца}
3470.  рассыпацца	рассыпаць -->4	<рас(=раз)>-//сып(=сыпл)//-а%-ц-{ца}
3471.  растаць	0 -->	<рас(=раз)>-//та%(=тай)//-ць
3472.  растлумачыць	тлумачыць -->2	<рас(=раз)>-//тлума%ч(=тлмач)//-ы-ць
3473.  расці	0 -->	[//рас(=рост)//-ц]і%
3474.  расчараванне	расчараваць -->1	<рас(=раз)>-//чар(=чар)//-ава%-нн-/е/
3475.  расчыніцца	расчыніць -->4	<рас(=раз)>-//чын(=кон1)//-і%-ц-{ца}
3476.  ратавацца	ратаваць -->4	//рат(=рат)//-ава%-ц-{ца}
3477.  ратаваць	0 -->	//рат(=рат)//-ава%-ць
3478.  ратунак	ратаваць -->1	//рат(=рат)//-у%нак-/0/
3479.  раўнавага	роўны+вага -->8	//раўн(=роўн)//-|а|-//ва%г(=ваг)//-/а/
3480.  раўнаваць	роўны -->1	//раўн(=роўн)//-ава%-ць
3481.  раўці	0 -->	//раў(=рэв)//-ці%
3482.  рацыя	0 -->	//ра%цы(=//радыё//-//станцый//)//-/я/
3483.  рацыя	0 -->	//ра%цы(=рацый)//-/я/
3484.  раць	0 -->	//раць(=раць)//-/0/
3485.  рачулка	рака -->1	//рач(=ры3)//-у%лк-/а/
3486.  рашучасць	рашучы -->1	//раш(=раш)//-у%ч-асць-/0/
3487.  рашучы	рашыць -->1	//раш(=раш)//-у%ч-/ы/
3488.  рашыць	0 -->	//раш(=раш)//-ы%-ць
3489.  рашэнне	рашыць -->1	//раш(=раш)//-э%нн-/е/
3490.  рвануць	рваць -->1	//рв(=рв)//-а-ну%-ць
3491.  рвацца	рваць -->4	//рв(=рв)//-а%-ц-{ца}
3492.  рваць	0 -->	//рв(=рв)//-а-ць
3493.  радзець	рэдкі -->1	//радз(=рад1)//-е%-ць
3494.  робат	0 -->	//ро%бат(=роб)//-/0/
3495.  рог	0 -->	//рог(=рог)//-/0/
3496.  рогат	рагатаць -->7	//ро%гат(=рыг1)//-:@:-/0/
3497.  род	радзіць -->7	//род(=род)//-:@:-/0/
3498.  родны	0 -->	//ро%д(=род)//-н-/ы/
3499.  роздум	раздумваць -->7	<ро%з(=раз)>-//дум(=дум)//-:@:-/0/
3500.  рознакаляровы	розны+колер -->9	//розн(=розн)//-|а|-//каляр(=колер)//-о%в-/ы/
3501.  розніца	розны -->1	//ро%зн(=розн)//-іц-/а/
3502.  розны	0 -->	//ро%зн(=розн)//-/ы/
3503.  розум	0 -->	//ро%зум(=ум)//-/0/
3504.  рой	0 -->	//рой(=рой)//-/0/
3505.  роля	0 -->	//ро%л(=роля)//-/я/
3506.  роспач	0 -->	//ро%спач(=роспач)//-/0/
3507.  рост	расці -->7	//рост(=рост)//-:@:-/0/
3508.  рот	0 -->	//рот(=жарэб)//-/0/
3509.  рота	0 -->	//ро%т(=рота)//-/а/
3510.  роў	рыць -->7	//роў(=ры)//-:@:-/0/
3511.  роўны	0 -->	//ро%ўн(=роўн)//-/ы/
3512.  рубель	0 -->	//рубе%ль(=рубл)//-/0/
3513.  руда	0 -->	//руд(=руд)//-/а%/
3514.  руды	0 -->	//руд(=руд)//-/ы%/
3515.  ружа	0 -->	//ру%ж(=руж)//-/а/
3516.  ружовы	ружа -->1	//руж(=руж)//-о%в-/ы/
3517.  руіна	0 -->	//руі%н(=руін)//-/а/
3518.  рука	0 -->	//рук(=рук)//-/а%/
3519.  рукапіс	рука+пісаць -->10	//ру%к(=рук)//-|а|-//піс(=піс)//-:@:-/0/
3520.  рукаў	рука -->1	//рук(=рук)//-а%ў-/0/
3521.  руль	0 -->	//руль(=руль)//-/0/
3522.  рускі	0 -->	//ру%[с(=рус)//-к]-/і/
3523.  рух	рухацца -->7	//рух(=рух)//-/0/
3524.  рухавы	рухацца -->1	//рух(=рух)//-а%в-/ы/
3525.  рухацца	рухаць -->4	//ру%х(=рух)//-а-ц-{ца}
3526.  ручай	0 -->	//руча%й(=рэв2а)//-/0/
3527.  ручка	0 -->	//ру%чк(=рук)//-/а/
3528.  ручка	рука -->1	//ру%ч(=рук)//-к-/а/
3529.  ручнік	рука -->1	//руч(=рук)//-ні%к-/0/
3530.  рушыць	0 -->	//ру%ш(=рух)//-ы-ць
3531.  рыба	0 -->	//ры%б(=рыб)//-/а/
3532.  рыбак	рыба -->1	//рыб(=рыб)//-а%к-/0/
3533.  рыбін	рыба -->1	//ры%б(=рыб)//-ін-/0/
3534.  рыбіна	рыба -->1	//ры%б(=рыб)//-ін-/а/
3535.  рыбка	рыба -->1	//ры%б(=рыб)//-к-/а/
3536.  рыдлёўка	0 -->	//рыдлё%ўк(=ры4)//-/а/
3537.  рызыкаваць	рызыка -->1	//рызык(=рызык)//-ава%-ць
3538.  рымскі	Рым -->	//ры%м(=рым)//-ск-/і/
3539.  рынак	0 -->	//ры%нак(=рынак)//-/0/
3540.  рынуцца	рынуць -->4	[//ры%(=ры2)//-н]у-ц-{ца}
3541.  рыса	0 -->	//ры%с(=рыс)//-/а/
3542.  рыхтавацца	рыхтаваць -->4	//рыхтав(=рыхтав)//-а%-ц-{ца}
3543.  рыхтаваць	0 -->	//рыхтав(=рыхтав)//-а%-ць
3544.  рыцар	0 -->	//ры%цар(=рыцар)//-/0/
3545.  рыцарскі	рыцар -->1	//ры%цар(=рыцар)//-ск-/і/
3546.  рэальнасць	рэальны -->1	//рэа%льн(=рэал)//-асць-/0/
3547.  рэальны	0 -->	//рэа%льн(=рэал)//-/ы/
3548.  рэвальвер	0 -->	//рэвальве%р(=рэвальвер)//-/0/
3549.  рэвалюцыя	0 -->	//рэвалю%цы(=рэвалюц)//-/я/
3550.  рэдактар	рэдагаваць -->1	//рэда%к(=рэдак)//-тар-/0/
3551.  рэдакцыя	рэдагаваць -->1	//рэда%к(=рэдак)//-цы-/я/
3552.  рэдкі	0 -->	//рэ%дк(=рэдк)//-/і/
3553.  рэзаць	0 -->	//рэ%з(=рэз)//-а-ць
3554.  рэзка	рэзаць -->1	//рэ%з(=рэз)//-к-/а/
3555.  рэзка	рэзкі -->1	//рэ%зк(=рэз)//-а
3556.  рэзкі	0 -->	//рэ%зк(=рэз)//-/і/
3557.  рэйка	0 -->	//рэ%йк(=рэйк)//-/а/
3558.  рэлігійны	рэлігія -->1	//рэлігі%й(=рэліг)//-н-/ы/
3559.  рэспубліка	0 -->	//рэспу%блік(=рэспублік)//-/а/
3560.  рэстаран	0 -->	//рэстара%н(=рэстаран)//-/0/
3561.  рэха	0 -->	//рэ%х(=рэха)//-/а/
3562.  рэч	0 -->	//рэч(=рэч)//-/0/
3563.  рэчка	рака -->1	//рэ%ч(=ры3)//-к-/а/
3564.  рэшта	0 -->	//рэ%шт(=рэшт)//-/а/
3565.  сабака	0 -->	//саба%к(=сабак)//-/а/
3566.  сабачы	сабака -->7	//саба%ч(=сабак)//-:@:-/ы/
3567.  сабор	0 -->	//сабо%р(=бр)//-/0/
3568.  сабрацца	сабраць -->4	<са>-//бр(=бр)//-а%-ц-{ца}
3569.  сабраць	браць -->2	<са>-//бр(=бр)//-а%-ць
3570.  сава	0 -->	//сав(=сава)//-/а%/
3571.  савецкі	савет -->1	//саве%[ц(=савет)//-к]-/і/
3572.  сагнуцца	сагнуць -->4	<са>-//г(=гіб)//-ну%-ц-{ца}
3573.  сад	0 -->	//сад(=сад)//-/0/
3574.  садзіцца	садзіць -->4	//садз(=сад)//-і%-ц-{ца}
3575.  садзіць	саджаць -->1n	//садз(=сад)//-і%-ць
3576.  садок	сад -->	//сад(=сад)//-о%к-/0/
3577.  садок	садзіць -->	//садо%к(=сад)//-/0/
3578.  сажа	0 -->	//са%ж(=сад)//-/а/
3579.  сажалка	0 -->	//са%жалк(=сад)//-/а/
3580.  сажань	0 -->	//са%жань(=сяг)//-/0/
3581.  сакавік	0 -->	//сакаві%к(=сок)//-/0/
3582.  сакратар	0 -->	//сакрата%р(=сакратар)//-/0/
3583.  сакратарка	сакратар -->1	//сакрата%р(=сакратар)//-к-/а/
3584.  сакратарыць	сакратар -->1	//сакрата%р(=сакратар)//-ы-ць
3585.  сакрэт	0 -->	//сакрэ%т(=сакрэт)//-/0/
3586.  сала	0 -->	//са%л(=сад1)//-/а/
3587.  салавей	0 -->	//салаве%й(=салав)//-/0/
3588.  саламяны	салома -->1	//салам(=салом)//-я%н-/ы/
3589.  салдат	0 -->	//салда%т(=салдат)//-/0/
3590.  салдацкі	салдат -->1	//салда%[ц(=салдат)//-к]-/і/
3591.  салодкі	0 -->	//сало%д(=салод)//-к-/і/
3592.  салома	0 -->	//сало%м(=салом)//-/а/
3593.  самагонка	сам+гнаць -->9	//сам(=сам)//-|а|-//го%н(=гн)//-к-/а/
3594.  самазванец	самазваны -->1	//сам(=сам)//-|а|-//зв(=зв)//-а%-н-ец-/0/
3595.  самалёт	сам+лятаць -->	//сам(=сам)//-|а|-//лё%т(=лят)//-/0/
3596.  самастойны	0 -->	//самасто%йн(=//сам//-|а|-//стай//)//-/ы/
3597.  самота	0 -->	//само%т(=сам)//-/а/
3598.  самотны	самота -->1	//само%т(=сам)//-н-/ы/
3599.  сапраўдны	праўда -->3	<са>-//пра%ўд(=прав)//-н-/ы/
3600.  сапраўды	праўда -->3	<са>-//праўд(=прав)//-ы%
3601.  сапсаваць	псаваць -->2	<са>-//псав(=пёс)//-а%-ць
3602.  сапці	0 -->	//сап(=соп)//-ці%
3603.  сарамлівы	сорам -->1	//сарам(=сорам)//-лі%в-/ы/
3604.  сарвацца	сарваць -->4	<са>-//рв(=рв)//-а%-ц-{ца}
3605.  сарваць	рваць -->2	<са>-//рв(=рв)//-а%-ць
3606.  сардэчны	сэрца -->1	//сард(=сэрд)//-э%ч-н-/ы/
3607.  саромецца	сорам -->5	//саро%м(=сорам)//-е-ц-{ца}
3608.  сарочка	0 -->	//саро%чк(=сарочк)//-/а/
3609.  саскочыць	скочыць -->2	<са>-//ско%ч(=скок)//-ы-ць
3610.  сасна	0 -->	//сасн(=сасн)//-/а%/
3611.  сасновы	сасна -->1	//сасн(=сасн)//-о%в-/ы/
3612.  саступіць	ступіць -->2	<са>-//ступ(=ступ)//-і%-ць
3613.  сачыць	0 -->	//сач(=сач)//-ы%-ць
3614.  сачыць	сок -->1	//сач(=сок)//-ы%-ць
3615.  саюз	0 -->	//саю%з(=уз)//-/0/
3616.  саюзнік	саюз -->1	//саю%з(=уз)//-нік-/0/
3617.  свабода	0 -->	//свабо%д(=свой2)//-/а/
3618.  свабодны	свабода -->1	//свабо%д(=свой2)//-н-/ы/
3619.  сварка	сварыцца -->	//сва%р(=свар)//-к-/а/
3620.  сварыцца	0 -->	//свар(=свар)//-ы%-ц-{ца}
3621.  сват	сватаць -->7	//сват(=свой1)//-:@:-/0/
3622.  сваяк	свой -->1	//сва(=свой)//-я%к-/0/
3623.  сведка	0 -->	//све%дк(=вед1)//-/а/
3624.  сведчыць	сведка -->1	//све%дч(=вед1)//-ы-ць
3625.  свежы	0 -->	//све%ж(=свеж)//-/ы/
3626.  свет	0 -->	//свет(=свет)//-/0/
3627.  светлы	свет -->1	//све%т(=свет)//-л-/ы/
3628.  свечка	свет -->1	//све%ч(=свет)//-к-/а/
3629.  свіння	0 -->	//свінн(=свін)//-/я%/
3630.  свіны	свіння -->7	//свін(=свін)//-:@:-/ы%/
3631.  свіснуць	свістаць -->1n	//сві%с(=свіст)//-ну-ць
3632.  свіст	свістаць -->7	//свіст(=свіст)//-:@:-/0/
3633.  свістаць	0 -->	//свіст(=свіст)//-а%-ць
3634.  світа	0 -->	//сві%т(=світа)//-/а/
3635.  світанне	світаць -->1	//світ(=свет)//-а%-нн-/е/
3636.  світка	світа -->1	//сві%т(=світ)//-к-/а/
3637.  своеасаблівы	свой+асаблівы -->8	//сво(=свой)//-|е|-//асаб(=асоб)//-лі%в-/ы/
3638.  свядомасць	свядомы -->1	//свядо%м(=вед1)//-асць-/0/
3639.  свядомы	0 -->	//свядо%м(=вед1)//-/ы/
3640.  свята	святы -->7	//свя%т(=свят)//-/а/
3641.  святло	свет -->	//свят(=свет)//-л-/о%/
3642.  святочны	свята -->1	//свят(=свят)//-о%чн-/ы/
3643.  святы	0 -->	//свят(=свят)//-/ы%/
3644.  свяціла	свяціць -->1	//свяц(=свет)//-і%-л-/а/
3645.  свяціцца	свяціць -->4	//свяц(=свет)//-і%-ц-{ца}
3646.  свяціць	свет -->1	//свяц(=свет)//-і%-ць
3647.  секунда	0 -->	//секу%нд(=секунд)//-/а/
3648.  селянін	сяло -->1	//сел(=сел)//-ян-і%н-/0/
3649.  сем	0 -->	//сем(=сем)//-/0/
3650.  семдзесят	сем+дзесяць -->8	//се%м(=сем)//-/0/-//дзесят(=дзесет)//-/0/
3651.  сена	0 -->	//се%н(=сен)//-/а/
3652.  сенажаць	сена+жаць -->9	//сен(=сен)//-а-жа%-ць-/0/
3653.  сенатар	сенат -->1	//сена%т(=сенат)//-ар-/0/
3654.  сенцы	сені -->1	//се%н(=сень)//-ц-/ы/
3655.  серп	0 -->	//серп(=серп)//-/0/
3656.  сесці	0 -->	//се%с(=сад)//-ці
3657.  сетка	сець -->1	//се%тк(=сетк)//-/а/
3658.  сеча	сячы -->7	//се%ч(=сек)//-:@:-/а/
3659.  сеяць	0 -->	//се%(=сей)//-я-ць
3660.  сёмы	сем -->=7	//сём(=сем)//-:@:-/ы/
3661.  сёння	0 -->	//сё%ння(=//сей1//-//дзень//)//-/0/
3662.  сённяшні	сёння -->1	//сё%ння(=//сей1//-//дзень//)//-шн-/і/
3663.  сівы	0 -->	//сі%в(=сів)//-/ы%/
3664.  сігнал	0 -->	//сігна%л(=сігнал)//-/0/
3665.  сіла	0 -->	//сі%л(=сіл)//-/а/
3666.  сіло	0 -->	//сіл(=сетк)//-/о%/
3667.  сіні	0 -->	//сі%н(=сін)//-/і/
3668.  сінь	сіні -->7	//сінь(=сін)//-:@:-/0/
3669.  сірата	0 -->	//сірат(=сіры)//-/а%/
3670.  сістэма	0 -->	//сістэ%м(=сістэм)//-/а/
3671.  сітуацыя	0 -->	//сітуа%цы(=сітуацый)//-/я/
3672.  сказ	сказаць -->7	//сказ(=каз)//-:@:-/0/
3673.  сказаць	казаць -->2	<с(=с)>-//каз(=каз)//-а%-ць
3674.  сказіць	0 -->	//сказ(=чэз)//-і%-ць
3675.  скакаць	0 -->	//скак(=скок)//-а%-ць
3676.  скала	0 -->	//скал(=скол)//-/а%/
3677.  скарб	0 -->	//скарб(=скарб)//-/0/
3678.  скарга	0 -->	//ска%рг(=скарг)//-/а/
3679.  скардзіцца	скарга -->	//ска%рдз(=скарг)//-і-ц-{ца}
3680.  скарыстаць	карыстаць -->2	<с(=с)>-//карыст(=карыст)//-а%-ць
3681.  сківіца	0 -->	//скі%віц(=скіба)//-/а/
3682.  скінуць	кінуць -->2	<с(=с)>-//кі%(=кідн)//-ну-ць
3683.  скіраваць	кіраваць -->2	<с(=с)>-//кір(=кір)//-ава%-ць
3684.  склад	складаць -->7	//склад(=клад)//-:@:-/0/
3685.  складаны	складаць -->1	//склад(=клад)//-а%-н-/ы/
3686.  складацца	складаць -->4	<с(=с)>-//клад(=клад)//-а%-ц-{ца}
3687.  складаць	скласці -->1	<с(=с)>-//клад(=клад)//-а%-ць
3688.  скласці	класці -->2	<с(=с)>-//кла%с(=клад)//-ці
3689.  скласціся	скласці -->4	<с(=с)>-//кла%с(=клад)//-ці-{ся}
3690.  склеп	0 -->	//склеп(=склеп)//-/0/
3691.  скляпенне	склеп -->1	//скляп(=склеп)//-е%нн-/е/
3692.  скок	скакаць -->7	//скок(=скок)//-:@:-/0/
3693.  скончыцца	скончыць -->4	<с(=с)>-//ко%нч(=кон)//-ы-ц-{ца}
3694.  скончыць	кончыць -->2	<с(=с)>-//ко%нч(=кон)//-ы-ць
3695.  скос	скасіць -->7	<с(=с)>-//кос(=кос)//-/0/
3696.  скочыць	скакаць -->1n	//ско%ч(=скок)//-ы-ць
3697.  скрозь	0 -->	//скрозь(=скроз)//-/0/
3698.  скронь	0 -->	//скронь(=скронь)//-/0/
3699.  скрутак	скруціць -->1	<с(=с)>-//кру%т(=крут)//-ак-/0/
3700.  скруха	0 -->	//скру%х(=крых)//-/а/
3701.  скрывіцца	скрывіць -->4	<с(=с)>-//крыв(=крыв)//-і%-ц-{ца}
3702.  скрыжаванне	скрыжаваць -->1	<с(=с)>-//крыж(=крыж)//-ава%-нн-/е/
3703.  скрынка	скрыня -->1	//скры%н(=скрын)//-к-/а/
3704.  скрыня	0 -->	//скры%н(=скрын)//-/я/
3705.  скрыпка	0 -->	//скры%п(=ры1)//-к-/а/
3706.  скупы	0 -->	//скуп(=скуп)//-/ы%/
3707.  скура	0 -->	//ску%р(=скур)//-/а/
3708.  скураны	скура -->1	//скур(=скур)//-ан-/ы%/
3709.  слабасць	слабы -->1	//сла%б(=слаб)//-асць-/0/
3710.  слабы	0 -->	//сла%б(=слаб)//-/ы/
3711.  слава	0 -->	//сла%в(=слав)//-/а/
3712.  славуты	слава -->1	//слав(=слав)//-у%т-/ы/
3713.  славянскі	славянін -->1	//слав(=слав)//-я%н-ск-/і/
3714.  слаць	0 -->	//сл(=сл)//-а-ць
3715.  слаць	0 -->	//сл(=стл)//-а-ць
3716.  след	0 -->	//след(=след)//-/0/
3717.  следства	0 -->	//сле%д(=след)//-ств-/а/
3718.  следчы	0 -->	//сле%д(=след)//-ч-/ы/
3719.  слізкі	0 -->	//слі%зк(=сліз)//-/і/
3720.  слізкі	слізь -->1	//слі%з(=сліз)//-к-/і/
3721.  слова	0 -->	//сло%в(=слав1)//-/а/
3722.  слоік	0 -->	//сло%ік(=лей1)//-/0/
3723.  слуга	служыць -->7	//слуг(=слуг)//-:@:-/а%/
3724.  служба	служыць -->1	//слу%ж(=слуг)//-б-/а/
3725.  служыць	0 -->	//служ(=слуг)//-ы%-ць
3726.  слуп	0 -->	//слуп(=слуп)//-/0/
3727.  слухацца	слухаць -->4	//слу%х(=вух1)//-а-ц-{ца}
3728.  слухаць	0 -->	//слу%х(=вух1)//-а-ць
3729.  слухач	слухаць -->1	//слух(=вух1)//-а%ч-/0/
3730.  слых	слухаць -->7	//слых(=вух1)//-:@:-/0/
3731.  сляза	0 -->	//сляз(=сліз)//-/а%/
3732.  сляпы	0 -->	//сляп(=слеп)//-/ы%/
3733.  смага	0 -->	//сма%г(=смаг)//-/а/
3734.  смак	0 -->	//смак(=смак)//-/0/
3735.  смала	0 -->	//смал(=смоль)//-/а%/
3736.  смачны	смак -->1	//сма%ч(=смак)//-н-/ы/
3737.  смеласць	смелы -->1	//сме%л(=смел)//-асць-/0/
3738.  смелы	смець -->1	//сме%(=смел)//-л-/ы/
3739.  смерць	0 -->	//смерць(=мр)//-/0/
3740.  смех	0 -->	//смех(=смех)//-/0/
3741.  смецце	0 -->	//сме%цц(=мет)//-/е/
3742.  смець	0 -->	//сме(=смел)//-ць
3743.  смешны	смех -->1	//сме%(=смех)//-ш-н-/ы/
3744.  смуга	0 -->	//смуг(=смаг)//-/а%/
3745.  смурод	0 -->	//смуро%д(=смерд)//-/0/
3746.  смутак	0 -->	//сму%т(=мут)//-ак-/0/
3747.  смутны	смутак -->1	//сму%т(=мут)//-н-/ы/
3748.  смярдзючы	смярдзець -->1	//смярдз(=смерд)//-ю%ч-/ы/
3749.  смяротны	смерць -->1	//смяро%т(=мр)//-н-/ы/
3750.  смяяцца	смех -->1	//смя(=смех)//-я%-ц-{ца}
3751.  снег	0 -->	//снег(=снег)//-/0/
3752.  снежань	0 -->	//сне%жань(=снег)//-/0/
3753.  снежны	снег -->1	//сне%ж(=снег)//-н-/ы/
3754.  сніцца	сніць -->4	//сн(=спн)//-і%-ц-{ца}
3755.  сніць	сон -->1	//сн(=спн)//-і-ць
3756.  сноп	0 -->	//сноп(=сноп)//-/0/
3757.  сок	0 -->	//сок(=сок)//-/0/
3758.  соль	0 -->	//соль(=соль)//-/0/
3759.  сом	0 -->	//сом(=сом)//-/0/
3760.  сон	спаць -->7	//сон(=спн)//-:@:-/0/
3761.  сонейка	сонца -->1	//со%н(=слн)//-ейк-/а/
3762.  сонечны	сонца -->1	//со%н(=слн)//-еч-н-/ы/
3763.  сонны	сон -->1	//со%н(=спн)//-н-/ы/
3764.  сонца	0 -->	//со%н(=слн)//-ц-/а/
3765.  сорам	0 -->	//со%рам(=сорам)//-/0/
3766.  сорамна	сорамны -->	//со%рам(=сорам)//-н-/а/
3767.  сотня	сто -->1	//со%т(=сто)//-н-/я/
3768.  спагада	спагадаць -->7	//спага%д(=гад1)//-:@:-/а/
3769.  спадабацца	падабацца -->2	<с(=с)>-//падаб(=падаб)//-а%-ц-{ца}
3770.  спадарожнік	спадарожны -->1	<с(=с)>-<па(=по)>-//даро%ж(=др1)//-н-ік-/0/
3771.  спадзяванне	спадзявацца -->1	//спадзяв(=дзел1)//-а%-нн-/е/
3772.  спадзявацца	0 -->	//спадзяв(=дзел1)//-а%-ц-{ца}
3773.  спадніца	0 -->	//спадні%ц(=пад)//-/а/
3774.  спадчына	0 -->	//спа%дчын(=пад)//-/а/
3775.  спазніцца	позні -->16	<с(=с)>-//пазн(=позн)//-і%-ц-{ца}
3776.  спакайнець	спакойны -->1	<с(=с)>-//пакай(=пакой)//-н-е%-ць
3777.  спакой	спакойны -->7	<с(=с)>-//пако%й(=пакой)//-:@:-/0/
3778.  спакойны	0 -->	<с(=с)>-//пако%й(=пакой)//-н-/ы/
3779.  спакуса	спакусіць -->7	//спаку%с(=кус)//-:@:-/а/
3780.  спаліць	паліць -->2	<с(=с)>-//пал(=пал)//-і%-ць
3781.  спалоханы	спалохаць -->18	<с(=с)>-//пало%х(=палох)//-а-н-/ы/
3782.  спалохацца	спалохаць -->4	<с(=с)>-//пало%х(=палох)//-а-ц-{ца}
3783.  спальня	спаць -->1	//сп(=спн)//-а%-льн-/я/
3784.  спасці	пасці -->2	<с(=с)>-//па%с(=пад)//-ці
3785.  спатканне	спаткаць -->1	//спатка%(=тык1)//-нн-/е/
3786.  спаткацца	спаткаць -->4	//спатка%(=тык1)//-ц-{ца}
3787.  спаткаць	0 -->	//спатка%(=тык1)//-ць
3788.  спатрэбіцца	патрэба -->16	<с(=с)>-<па(=по)>-//трэ%б(=цераб1)//-і-ц-{ца}
3789.  спаць	0 -->	//сп(=спн)//-а-ць
3790.  спачатку	пачатак -->3	<с(=с)>-<па(=по)>-//ча%(=кон1)//-тк-у
3791.  спачуванне	спачуваць -->1	<с(=с)>-<па(=по)>-//чу(=чу)//-ва%-нн-/е/
3792.  спачуваць	0 -->	<с(=с)>-<па(=по)>-//чу(=чу)//-ва%-ць
3793.  спераду	перад -->3	<с(=с)>-//пе%рад(=перад)//-у
3794.  спеў	спяваць -->7	<с(=с)>-//пе(=пе)//-ў-:@:-/0/
3795.  спецыяльны	0 -->	//спецыя%ль(=спецыял)//-н-/ы/
3796.  спець	пець -->2	<с(=с)>-//пе(=пе)//-ць
3797.  спець	0 -->	//спе(=спе)//-ць
3798.  спіна	0 -->	//спі%н(=спін)//-/а/
3799.  спіс	спісаць -->7	<с(=с)>-//піс(=піс)//-/0/
3800.  спіць	піць -->2	<с(=с)>-//пі(=пі)//-ць
3801.  споведзь	спаведаць -->7	//спо%ведзь(=вед1)//-:@:-/0/
3802.  спосаб	0 -->	//спо%саб(=асоб1)//-/0/
3803.  спрабаваць	0 -->	<с(=с)>-//праб(=проб)//-ава%-ць
3804.  справа	0 -->	//спра%в(=прав)//-/а/
3805.  справа	правы -->3	<с(=с)>-//пра%в(=прав)//-а
3806.  справядлівасць	справядлівы -->1	//справядлі%в(=прав)//-асць-/0/
3807.  справядлівы	0 -->	//справядлі%в(=прав)//-/ы/
3808.  спрачацца	0 -->	//спрач(=прэч)//-а%-ц-{ца}
3809.  спроба	спрабаваць -->7	<с(=с)>-//про%б(=проб)//-/а/
3810.  спрыт	0 -->	//спрыт(=спрыт)//-/0/
3811.  спрытны	спрыт -->1	//спры%т(=спрыт)//-н-/ы/
3812.  спрыяць	0 -->	//спрыя%(=прыяць)//-ць
3813.  спрэчка	спрачацца -->1	//спрэ%ч(=прэч)//-к-/а/
3814.  спужацца	спужаць -->4	<с(=с)>-//пуж(=пуг)//-а%-ц-{ца}
3815.  спускацца	спускаць -->4	<с(=с)>-//пуск(=пуск)//-а%-ц-{ца}
3816.  спускаць	спусціць -->2	<с(=с)>-//пуск(=пуск)//-а%-ць
3817.  спусціцца	спусціць -->4	<с(=с)>-//пусц(=пуск)//-і%-ц-{ца}
3818.  спусціць	пусціць -->2	<с(=с)>-//пусц(=пуск)//-і%-ць
3819.  спыніцца	спыніць -->4	<с(=с)>-//пын(=пін1)//-і%-ц-{ца}
3820.  спыніць	0 -->	<с(=с)>-//пын(=пін1)//-і%-ць
3821.  спыняцца	спыніцца -->1n	<с(=с)>-//пын(=пін1)//-я%-ц-{ца}
